#tool_version=4.0.4	database_version=4.0	min_alignment_length=75	min_mgcs=3	count_mode=INSERT_SCALED	value_type=relative_abundances
mOTU	Taxonomy	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074278_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074296_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074305_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074314_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074323_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074332_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074350_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074353_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074354_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074355_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074356_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074357_trimmed_nonhuman.motus.name
mOTUv4.0_000019	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	0.09656914	0.20152616	0.00000000	0.16225438	0.00000000	0.00000000	0.03504611	0.00023250	0.04167330	0.00000000	0.00112630	0.00000000
mOTUv4.0_000020	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	0.00000000	0.00000000	0.00031080	0.00000000	0.00010768	0.00000000	0.00000000	0.00020997	0.00000000	0.00000000	0.00000000	0.00017746
mOTUv4.0_000021	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Unknown Hominicoprocola mOTUv4.0_000021	0.00022575	0.00191736	0.00286203	0.00403706	0.00000000	0.01045747	0.00499878	0.00065948	0.00697189	0.00000000	0.00701935	0.01018933
mOTUv4.0_000022	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	0.00049180	0.00306101	0.00007246	0.00895921	0.00000000	0.00000000	0.00006107	0.00000000	0.00026240	0.00000000	0.00000000	0.00009320
mOTUv4.0_000023	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	0.00617992	0.00000000	0.00457225	0.02742589	0.00000000	0.00000000	0.01137157	0.00080991	0.03503524	0.00014498	0.00013205	0.00319605
mOTUv4.0_000024	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	0.00000000	0.01284710	0.00053583	0.00056442	0.00000000	0.00000000	0.00016500	0.00115434	0.00080190	0.00000000	0.00030321	0.00247196
mOTUv4.0_000025	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Unknown Prevotella mOTUv4.0_000025	0.00000000	0.00095523	0.00000000	0.00046544	0.00000000	0.00000000	0.04182175	0.00025666	0.00495327	0.00000000	0.00174271	0.00104104
mOTUv4.0_000026	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	0.00000000	0.04732021	0.00087385	0.00983895	0.00000000	0.00000000	0.00474868	0.00007944	0.00985564	0.00000000	0.00075616	0.00389989
mOTUv4.0_000028	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp003525905	0.00181749	0.03143487	0.00046513	0.00430116	0.00717995	0.00816920	0.00011886	0.00206186	0.00070626	0.00000000	0.00063152	0.00125473
mOTUv4.0_000030	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	0.00000000	0.01774522	0.00000000	0.00833504	0.05042221	0.04627770	0.04231354	0.04657322	0.00031947	0.06336949	0.00521593	0.00000000
mOTUv4.0_000031	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625	0.00038227	0.00037648	0.00674637	0.00022037	0.00107197	0.00689830	0.00094947	0.00038356	0.00283162	0.00000000	0.00051073	0.00017963
mOTUv4.0_000032	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	0.00194908	0.00057525	0.01675334	0.00245498	0.00000000	0.00000000	0.00233923	0.00000000	0.00255612	0.00000000	0.00073045	0.00179381
mOTUv4.0_000033	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	0.00080769	0.00009718	0.00200769	0.00033583	0.00054042	0.00253532	0.00094209	0.00224530	0.00040833	0.00000000	0.00055192	0.00004034
mOTUv4.0_000034	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031597	0.00000000	0.00000000	0.00000000
mOTUv4.0_000035	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266;s__CAG-266 sp019117495	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00378612	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mOTUv4.0_000036	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	0.00000000	0.00000000	0.00000000	0.00473737	0.00000000	0.00000000	0.00003999	0.00493346	0.00363034	0.00000000	0.00013548	0.00000000
mOTUv4.0_000037	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	0.00021504	0.00000000	0.01142032	0.00012695	0.00000000	0.00000000	0.00008455	0.00000000	0.00000000	0.00000000	0.00021143	0.00000000
mOTUv4.0_000038	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__Eubacterium_B sulci	0.00010120	0.00009278	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mOTUv4.0_000039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	0.00000000	0.00044532	0.00000000	0.00239275	0.00054026	0.00782432	0.00481232	0.00005974	0.00578785	0.00008565	0.00014932	0.00268860
mOTUv4.0_000040	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	0.00304272	0.00049400	0.00101865	0.00208940	0.00092479	0.00000000	0.03999178	0.00030897	0.00299895	0.00037455	0.00181792	0.00901424
mOTUv4.0_000042	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_J	0.00052570	0.00079780	0.00056258	0.00045499	0.00405803	0.00038721	0.00093373	0.00228178	0.00042080	0.00000000	0.00072752	0.00000000
mOTUv4.0_000043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Unknown Phocaeicola mOTUv4.0_000043	0.00000000	0.00088272	0.00000000	0.01029729	0.00000000	0.00000000	0.01210443	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mOTUv4.0_000045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	0.00303900	0.02055140	0.01416260	0.00656186	0.00790564	0.01527278	0.02236101	0.00016710	0.00000000	0.01306816	0.00092156	0.00023114
mOTUv4.0_000046	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000433355	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.11168166	0.00000000	0.00000000	0.00000000
mOTUv4.0_000048	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	0.00207541	0.00000000	0.00000000	0.00018650	0.00363301	0.00508942	0.00000000	0.01360093	0.00000000	0.00169173	0.00167017	0.00000000
mOTUv4.0_000049	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	0.00425148	0.00000000	0.00092898	0.00101206	0.00000000	0.00000000	0.00226544	0.00058655	0.00204928	0.00000000	0.00042238	0.00053195
mOTUv4.0_000050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	0.00538816	0.00369484	0.00107195	0.00462704	0.01966014	0.01106817	0.00786994	0.00015404	0.00126970	0.00000000	0.00735177	0.00264817
mOTUv4.0_000051	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	0.00093401	0.00105069	0.00162635	0.00374578	0.00729774	0.00061386	0.00573272	0.01805799	0.00363377	0.02855554	0.00111208	0.00240064
mOTUv4.0_000052	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Unknown Veillonella mOTUv4.0_000052	0.00000000	0.00000000	0.00000000	0.00000000	0.00223229	0.00000000	0.00034224	0.00000000	0.00000000	0.00077447	0.00057310	0.00000000
mOTUv4.0_000053	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	0.00000000	0.00000000	0.00000000	0.00005934	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
mOTUv4.0_000056	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	0.00544430	0.00080974	0.00000000	0.00094893	0.00469912	0.00311526	0.00418810	0.00301963	0.00264470	0.00000000	0.00562571	0.00166690
mOTUv4.0_000057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00110832	0.00000000	0.00000000	0.00000000
mOTUv4.0_000058	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00357319	0.00000000	0.00000000	0.00000000
mOTUv4.0_000059	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00070270	0.00000000
